Abbie,112
Abby,7
Abigail,14
Ada,1101
Adabelle,5
Adah,37
Adaline,18
Adda,10
Addie,541
Adel,8
Adela,38
Adelaida,8
Adelaide,183
Adele,186
Adelia,50
Adelina,19
Adeline,237
Adell,49
Adella,33
Adelle,18
Ader,14
Adline,16
Adrienne,21
Afton,5
Agatha,65
Aggie,26
Agnes,1914
Agness,9
Agusta,7
Aida,9
Aileen,67
Ailene,5
Aimee,16
Alba,8
Albert,12
Alberta,541
Albertha,29
Albertina,7
Albertine,31
Albie,7
Albina,49
Albirta,7
Alcie,6
Alda,35
Aldea,8
Aldora,9
Alean,7
Alease,8
Aleda,8
Aleen,17
Alejandra,6
Alena,7
Alene,23
Aleta,9
Aletha,25
Alethia,12
Alfhild,5
Alfreda,22
Alfrieda,6
Algie,5
Alice,3059
Alicia,18
Alida,26
Aline,85
Alla,9
Allean,14
Alleen,6
Alleine,5
Allen,8
Allena,6
Allene,38
Allice,8
Allie,286
Alline,12
Alma,1372
Almeda,30
Almeta,17
Almeter,5
Almira,19
Alpha,78
Alsie,6
Alta,337
Altha,32
Althea,35
Altie,8
Alva,67
Alvah,6
Alvena,13
Alverda,12
Alverta,14
Alvie,7
Alvina,115
Alvira,15
Alyce,45
Alys,7
Alzada,5
Alzina,5
Amada,5
Amalia,27
Amalie,7
Amanda,377
Amber,15
Ambrosia,6
Amelia,398
America,15
Amey,5
Amie,24
Amma,7
Ammie,21
Amy,335
Ana,18
Anabel,8
Anastacia,7
Anastasia,33
Andrea,13
Angela,107
Angele,5
Angelina,115
Angeline,133
Angelita,15
Angella,8
Angelyn,5
Angie,69
Anice,6
Anie,5
Anise,7
Anita,176
Ann,736
Anna,6114
Annabel,37
Annabell,17
Annabelle,73
Annamae,7
Anne,614
Anner,14
Annetta,21
Annette,113
Annice,8
Annie,3324
Annis,36
Antionette,7
Antoinette,133
Antonetta,8
Antonette,17
Antonia,52
Antonietta,6
Antonina,7
Ara,25
Arabella,7
Arabelle,8
Archie,7
Ardath,6
Ardelia,7
Ardell,13
Ardella,20
Ardena,10
Ardie,5
Ardis,14
Aretha,5
Aretta,5
Argie,8
Aria,5
Arie,20
Ariel,5
Arilla,7
Arizona,12
Arla,5
Arlean,9
Arlena,17
Arlene,47
Arletha,5
Arletta,12
Arlie,22
Arline,35
Armanda,6
Armelia,5
Arminda,5
Arminta,7
Arnetta,7
Arrena,6
Arrie,23
Artha,8
Arthur,17
Artie,88
Arvella,5
Arvilla,36
Ary,10
Arzella,6
Asilee,5
Ason,6
Astrid,6
Atha,16
Atlanta,5
Attie,9
Aubrey,5
Auda,5
Audie,27
Audra,25
Audrey,196
Audry,5
Augusta,245
Augustina,7
Augustine,24
Aura,10
Aurelia,66
Aurilla,6
Aurora,21
Aurore,19
Australia,6
Ava,65
Avery,6
Avice,6
Avie,12
Avis,57
Avo,7
Azalee,11
Azelie,6
Azzie,9
Babe,9
Bama,6
Bamma,9
Barbara,339
Barbra,5
Bea,6
Beadie,8
Beata,7
Beatrice,1382
Beatriz,9
Beaulah,36
Beckie,6
Becky,6
Beda,8
Bee,13
Bell,63
Bella,73
Belle,291
Belva,61
Belvia,12
Bena,5
Benita,9
Bennie,41
Bera,7
Berdie,24
Berenice,29
Bernadette,47
Bernadine,37
Bernardine,8
Berneice,19
Bernetta,6
Bernice,702
Bernie,11
Berniece,36
Bernita,9
Bernyce,5
Bert,11
Berta,55
Bertha,3019
Berthe,6
Bertie,203
Bertina,5
Bertrice,7
Beryl,59
Bess,134
Besse,20
Bessie,3044
Beth,29
Betha,8
Bethel,30
Betsey,6
Betsy,24
Bette,6
Bettie,167
Betty,664
Bettye,9
Beula,16
Beulah,974
Beuna,9
Beverly,13
Billie,76
Bina,15
Birda,7
Birdella,7
Birdia,6
Birdie,204
Birtha,33
Birtie,10
Blanch,113
Blanche,1332
Blanchie,14
Blossom,9
Bobbie,35
Bobby,5
Bonita,8
Bonnie,220
Bridget,40
Brooksie,7
Brownie,8
Buelah,13
Buena,12
Bula,15
Bulah,36
Buna,12
Burley,5
Burnice,11
Byrd,5
Byrdie,10
Caldonia,15
Caledonia,5
Calista,5
Calla,7
Callie,310
Camilla,40
Camille,47
Cammie,11
Canary,5
