Aaron,1771
Abbott,6
Abby,6
Abdon,6
Abdul,11
Abe,60
Abel,247
Abelardo,49
Abelino,5
Able,9
Abner,30
Abraham,293
Abram,34
Abran,10
Abron,5
Ace,20
Acie,17
Acy,5
Adalberto,34
Adam,1018
Adams,5
Adan,66
Addison,32
Adelbert,9
Adell,9
Aden,9
Adin,7
Adlai,5
Adolf,12
Adolfo,122
Adolph,141
Adolphus,46
Adonis,7
Adrain,37
Adrian,556
Adriel,6
Adrien,8
Adrienne,7
Adron,7
Agapito,20
Agostino,7
Agustin,80
Agustine,8
Ahmad,21
Ahmed,12
Aidan,8
Akbar,6
Al,393
Alain,29
Alan,8356
Alaric,7
Alban,8
Albaro,7
Albert,4598
Alberto,497
Albie,6
Albin,23
Albino,19
Alcides,8
Alden,86
Aldo,60
Aldon,13
Alec,101
Alejandro,202
Alejo,10
Alen,16
Alessandro,7
Alex,1229
Alexander,1199
Alexandre,7
Alexandro,13
Alexandros,6
Alexis,65
Alf,8
Alferd,10
Alfonse,18
Alfonso,383
Alfonza,38
Alfonzo,63
Alford,49
Alfred,2404
Alfredo,482
Alger,6
Algernon,11
Algie,12
Algis,7
Ali,25
Alice,12
Allan,1472
Allen,4375
Allie,19
Allison,54
Allon,5
Allyn,40
Alma,8
Almando,5
Almer,5
Almon,7
Almond,7
Alois,10
Alonso,22
Alonza,41
Alonzo,464
Aloysius,27
Alpha,9
Alpheus,7
Alphonce,5
Alphonsa,5
Alphonse,54
Alphonso,285
Alphonza,10
Alphonzo,42
Alston,8
Alto,5
Alton,529
Altus,5
Alva,60
Alvah,7
Alvan,8
Alvaro,69
Alven,5
Alvertis,5
Alvester,10
Alvie,26
Alvin,1995
Alvino,18
Alvis,51
Alwin,6
Alwyn,6
Alyn,10
Amadeo,11
Amado,33
Amador,29
Amando,6
Ambrose,51
Ambrosio,14
Americo,26
Ames,8
Amiel,9
Amil,5
Amir,7
Ammon,9
Amon,11
Amos,261
Amose,6
Amy,11
Anacleto,5
Anastacio,20
Ancel,8
Ancil,8
Andamo,15
Ander,7
Anders,21
Anderson,84
Anderw,5
Andra,71
Andre,1402
Andrea,81
Andreas,35
Andree,13
Andrei,17
Andres,213
Andrew,8200
Andri,7
Andy,1428
Angel,663
Angela,21
Angelia,5
Angelo,665
Angie,8
Angus,34
Anibal,37
Aniceto,6
Aniello,5
Anil,7
Anita,16
Ann,25
Anna,14
Anne,12
Annette,22
Annie,8
Anothny,7
Anothony,12
Anothy,6
Ansara,5
Ansel,10
Anselmo,36
Anson,19
Anthany,10
Anthoney,34
Anthony,19506
Antione,26
Antoine,162
Anton,152
Antone,49
Antoni,6
Antonia,28
Antonie,7
Antonino,9
Antonio,1496
Antony,96
Antwan,7
Antwon,5
Apolinar,8
Apolonio,17
